"Activity ID","Source Issue","Phase","Gate","Type","Execution","Agent Role","Goal","Deliverables","Predecessors","Acceptance IDs","Status","Owner Role","Reviewer Role","Priority References"
"ACT-SP-001-01","SP-001","P00","G0","Decision preparation","Agent","Delivery / analysis agent","Assemble source evidence, options, gaps and the decision needed for: Decision log names first market/language, initial pilot age representation, solo/assisted expectations, adult account treatment, and the confirmed two recording modes","Review-ready SP-001 packet with source versions, open decisions and acceptance checklist","","AC-SP-001-01","Backlog","Founder/product owner","Founder / specialist",""
"ACT-SP-001-02","SP-001","P00","G0","Human action","Human","","The accountable Founder/product owner supplies missing decisions and approves the specific outcome: Resolve launch and account assumptions. Resolve any specialist sign-off with the actual specialist; preserve the original acceptance below. Confirm the outcome against the original source acceptance; record approve/revise/stop with actual evidence.","Dated SP-001 decision and any actual specialist/participant work required by its scope","ACT-SP-001-01","AC-SP-001-01","Backlog","Founder/product owner","Founder / specialist",""
"ACT-SP-002-01","SP-002","P02","G0","Delivery activity","Agent","Delivery agent","Map one team, phases, gate projects, workflow, roles and source IDs into a reviewable destination configuration","Board configuration and source-to-live-ID mapping template","ACT-SP-001-02","AC-SP-002-01, AC-SP-002-02, AC-SP-002-03, AC-SP-002-04, AC-SP-002-05, AC-SP-002-06, AC-SP-002-07, AC-SP-002-08","Backlog","Delivery owner","Delivery owner",""
"ACT-SP-002-02","SP-002","P02","G0","Delivery activity","Agent","Delivery agent","Configure the named workspace, import the selected route and verify relationships and permissions without duplicate records","Actual import result, ID map and relationship comparison","ACT-SP-002-01","AC-SP-002-01, AC-SP-002-02, AC-SP-002-03, AC-SP-002-04, AC-SP-002-05, AC-SP-002-06, AC-SP-002-07, AC-SP-002-08","Backlog","Delivery owner","Delivery owner",""
"ACT-SP-002-03","SP-002","P02","G0","Verification and handoff","Agent","QA / Delivery agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Delivery owner.","SP-002 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-002-02","AC-SP-002-01, AC-SP-002-02, AC-SP-002-03, AC-SP-002-04, AC-SP-002-05, AC-SP-002-06, AC-SP-002-07, AC-SP-002-08","Backlog","Delivery owner","Delivery owner",""
"ACT-SP-003-01","SP-003","P00","G0","Specification","Agent","Delivery agent","Specify allowed tools, data, paths, environments, authority, spend/time ceilings and stop/retry behavior","Run-contract policy with unresolved owner decisions","","AC-SP-003-01, AC-SP-003-02","Backlog","Technical lead/founder","Delivery owner",""
"ACT-SP-003-02","SP-003","P00","G0","Specification","Agent","Delivery agent","Map standard/security-sensitive work to reviewers and current-version evidence required for Ready, Review and Done","Review matrix, handoff template and failure-routing examples","ACT-SP-003-01","AC-SP-003-01, AC-SP-003-02","Backlog","Technical lead/founder","Delivery owner",""
"ACT-SP-003-03","SP-003","P00","G0","Verification and handoff","Agent","QA / Delivery agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Delivery owner.","SP-003 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-003-02","AC-SP-003-01, AC-SP-003-02","Backlog","Technical lead/founder","Delivery owner",""
"ACT-SP-004-01","SP-004","P00","G0","Acceptance rollup","Human","","Check every child plus the original source outcome: Success criteria fixed before research; spending boundaries; device access plan; coaching, animation, privacy, and engineering estimate requests with deliverables; quotes distinguished from assumptions","Integration/evidence checklist and actual Founder decision for SP-004","ACT-SP-001-02, ACT-SP-075-02","AC-SP-004-01, AC-SP-004-02, AC-SP-004-03, AC-SP-004-04, AC-SP-004-05","Backlog","Founder","Founder / specialist",""
"ACT-SP-005-01","SP-005","P01","G1","Decision preparation","Agent","Delivery / analysis agent","Assemble source evidence, options, gaps and the decision needed for: D01–D12 reviewed by a qualified youth coach; age/ability variants, setup, cues, timings, prerequisites and progression corrected; D12 has suitable goalkeeper input; named approval per releasable variant","Review-ready SP-005 packet with source versions, open decisions and acceptance checklist","ACT-SP-001-02, ACT-SP-004-01","AC-SP-005-01, AC-SP-005-02, AC-SP-005-03, AC-SP-005-04, AC-SP-005-05","Backlog","Coach/content owner","Qualified coach","IP-01, IP-03"
"ACT-SP-005-02","SP-005","P01","G1","Human action","Human","","The accountable Coach/content owner supplies missing decisions and approves the specific outcome: Review all 12 drill contracts. Resolve any specialist sign-off with the actual specialist; preserve the original acceptance below. Confirm the outcome against the original source acceptance; record approve/revise/stop with actual evidence.","Dated SP-005 decision and any actual specialist/participant work required by its scope","ACT-SP-005-01","AC-SP-005-01, AC-SP-005-02, AC-SP-005-03, AC-SP-005-04, AC-SP-005-05","Backlog","Coach/content owner","Qualified coach","IP-01, IP-03"
"ACT-SP-006-01","SP-006","P01","G1","Decision preparation","Agent","Delivery / analysis agent","Assemble source evidence, options, gaps and the decision needed for: A01 close control, A02 receiving/passing, A03 moving drill; realistic foot/ball contact and useful camera view; caption/cue timing; source rights; coach feedback and approved version links","Review-ready SP-006 packet with source versions, open decisions and acceptance checklist","ACT-SP-005-02","AC-SP-006-01, AC-SP-006-02, AC-SP-006-03, AC-SP-006-04, AC-SP-006-05, AC-SP-006-06","Backlog","Animator/content owner with coach acceptance","Qualified coach","IP-01"
"ACT-SP-006-02","SP-006","P01","G1","Human action","Human","","The accountable Animator/content owner with coach acceptance supplies missing decisions and approves the specific outcome: Produce and review three animation samples. Resolve any specialist sign-off with the actual specialist; preserve the original acceptance below. Confirm the outcome against the original source acceptance; record approve/revise/stop with actual evidence.","Dated SP-006 decision and any actual specialist/participant work required by its scope","ACT-SP-006-01","AC-SP-006-01, AC-SP-006-02, AC-SP-006-03, AC-SP-006-04, AC-SP-006-05, AC-SP-006-06","Backlog","Animator/content owner with coach acceptance","Qualified coach","IP-01"
"ACT-SP-007-01","SP-007","P01","G1","Acceptance rollup","Human","","Check every child plus the original source outcome: Editable Figma design if supported access is enabled, otherwise a clearly labelled handoff; all F01–F13 states, portrait/landscape training view, parent controls, large timer, actual record state, interruption, quota and deletion; youngest-player and adult routes reviewed","Integration/evidence checklist and actual Product designer decision for SP-007","ACT-SP-001-02, ACT-SP-010-01, ACT-SP-011-03, ACT-SP-076-02, ACT-SP-077-03, ACT-SP-151-03, ACT-SP-152-03, ACT-SP-153-03, ACT-SP-154-03, ACT-SP-155-03","AC-SP-007-01, AC-SP-007-02, AC-SP-007-03","Backlog","Product designer","Product designer",""
"ACT-SP-008-01","SP-008","P01","G1","Acceptance rollup","Human","","Check every child plus the original source outcome: Sensitive records/actions mapped to player, guardian, club admin, coach, staff and service scope; limited enrollment projections; processors/regions, consent and lifecycle; billing does not grant media access","Integration/evidence checklist and actual Technical lead decision for SP-008","ACT-SP-001-02, ACT-SP-037-03, ACT-SP-084-03","AC-SP-008-01, AC-SP-008-02, AC-SP-008-03, AC-SP-008-04","Backlog","Technical lead","Technical lead",""
"ACT-SP-009-01","SP-009","P01","G1","Decision preparation","Agent","Delivery / analysis agent","Assemble source evidence, options, gaps and the decision needed for: S01–S27 and R01–R20 mapped to controls, owners and gates; mobile and administrative web/API coverage; first-market club/family responsibilities and store requirements reflected in flows; outstanding findings explicit","Review-ready SP-009 packet with source versions, open decisions and acceptance checklist","ACT-SP-007-01, ACT-SP-008-01, ACT-SP-010-01, ACT-SP-011-03, ACT-SP-038-03, ACT-SP-059-03, ACT-SP-060-03, ACT-SP-061-03, ACT-SP-062-03, ACT-SP-063-03","AC-SP-009-01, AC-SP-009-02, AC-SP-009-03, AC-SP-009-04","Backlog","Security reviewer/privacy adviser with founder","Independent security reviewer",""
"ACT-SP-009-02","SP-009","P01","G1","Human action","Human","","The accountable Security reviewer/privacy adviser with founder supplies missing decisions and approves the specific outcome: Review threats, privacy, and store audience. Resolve any specialist sign-off with the actual specialist; preserve the original acceptance below. Confirm the outcome against the original source acceptance; record approve/revise/stop with actual evidence.","Dated SP-009 decision and any actual specialist/participant work required by its scope","ACT-SP-009-01","AC-SP-009-01, AC-SP-009-02, AC-SP-009-03, AC-SP-009-04","Backlog","Security reviewer/privacy adviser with founder","Independent security reviewer",""
